Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW),REopt:ElectricityProduced:Total(kw),REopt:Electricity:Load:Total(kw),REopt:Electricity:Grid:ToLoad(kw),REopt:Electricity:Grid:ToBattery(kw),REopt:Electricity:Storage:ToLoad(kw),REopt:Electricity:Storage:ToGrid(kw),REopt:Electricity:Storage:StateOfCharge(pct),REopt:ElectricityProduced:Generator:Total(kw),REopt:ElectricityProduced:Generator:ToBattery(kw),REopt:ElectricityProduced:Generator:ToLoad(kw),REopt:ElectricityProduced:Generator:ToGrid(kw),REopt:ElectricityProduced:PV:Total(kw),REopt:ElectricityProduced:PV:ToBattery(kw),REopt:ElectricityProduced:PV:ToLoad(kw),REopt:ElectricityProduced:PV:ToGrid(kw),REopt:ElectricityProduced:Wind:Total(kw),REopt:ElectricityProduced:Wind:ToBattery(kw),REopt:ElectricityProduced:Wind:ToLoad(kw),REopt:ElectricityProduced:Wind:ToGrid(kw)
2012.0,4.059809448749946,0.0,0.24222083576872455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09055573216654828,5.169813399268989,4.059809448749946,4.059809448749946,0.0,4.51089938749994,0.0,4.059809448749946,4.51089938749994,0.0,4.05981,4.05981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,3.825290417934495,0.0,0.269743067654517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16168630500146625,5.541788159857276,3.825290417934495,3.825290417934495,0.0,4.250322686593883,0.0,3.825290417934495,4.250322686593883,0.0,3.82529,3.82529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,4.871049956894571,0.0,1.3963880095609782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35217060140107603,7.580658978425902,4.871049956894571,4.871049956894571,0.0,5.412277729882857,0.0,4.871049956894571,5.412277729882857,0.0,4.87105,4.87105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,5.044622046604135,0.0,1.3963880095609782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38709893191661887,8.1209841485785,5.044622046604135,5.044622046604135,0.0,5.605135607337928,0.0,5.044622046604135,5.605135607337928,0.0,5.04462,5.04462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,4.851759889987217,0.0,0.6013986308394387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34580560303455116,7.487792459443071,4.851759889987217,4.851759889987217,0.0,5.390844322208019,0.0,4.851759889987217,5.390844322208019,0.0,4.85176,4.85176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,4.244914664965381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307721394608835,6.968071342528944,4.244914664965381,4.244914664965381,0.0,4.716571849961534,0.0,4.244914664965381,4.716571849961534,0.0,4.24491,4.24491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2.811477146194981,0.0,1.9545454215765605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28768400416861073,6.7192869128333825,2.811477146194981,2.811477146194981,0.0,3.123863495772201,0.0,2.811477146194981,3.123863495772201,0.0,2.81148,2.81148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,1.0920532633380253,0.0,1.3963880095609782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1396558337610948,5.404087264223776,1.0920532633380253,1.0920532633380253,0.0,1.2133925148200282,0.0,1.0920532633380253,1.2133925148200282,0.0,1.09205,1.09205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,1.0920532633380253,0.0,0.6610403108521712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05320276079980656,5.058600903337677,1.0920532633380253,1.0920532633380253,0.0,1.2133925148200282,0.0,1.0920532633380253,1.2133925148200282,0.0,1.09205,1.09205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2.01520163500814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042023332196196445,5.036559161759939,2.01520163500814,2.01520163500814,0.0,2.2391129277868225,0.0,2.01520163500814,2.2391129277868225,0.0,2.0152,2.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2.01520163500814,0.0,0.8374285384662994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.126118534165576,5.329492927442914,2.01520163500814,2.01520163500814,0.0,2.2391129277868225,0.0,2.01520163500814,2.2391129277868225,0.0,2.0152,2.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,1.8351483716701176,0.0,1.0479176128941439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2097075615934476,5.912104927711084,1.8351483716701176,1.8351483716701176,0.0,2.0390537463001306,0.0,1.8351483716701176,2.0390537463001306,0.0,1.83515,1.83515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
