Electricity:Facility,ElectricityProduced:Facility,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
13.8462,15.3769,0.0,0.0,0.0,0,1.0,,0,0,0,15.3769,0.947077,13.8462,0.583615,,0,0,0,909.104902,0,0,0,0,0,0,0,0,0,0
38.0733,13.5792,23.6431,0.0,0.851006,0,0.279196306704135,,0,0,0,13.5792,0.0,13.5792,0.0,,0,0,0,658.291618,0,0,0,0,0,0,0,0,0,0
0.148367,10.3172,0.0,0.0,0.0,0,1.0,,0,0,0,10.3172,0.947077,0.148367,9.2218,,0,0,0,629.1770225,0,0,0,0,0,0,0,0,0,0
7.44611,5.77006,1.67605,0.0,0.0,0,1.0,,0,0,0,5.77006,0.0,5.77006,0.0,,0,0,0,701.4460033,0,0,0,0,0,0,0,0,0,0
0.708425,0.56128,0.147145,0.0,0.0,0,1.0,,0,0,0,0.56128,0.0,0.56128,0.0,,0,0,0,692.3099214,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,10.1952,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.15212,0.0,0.15212,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.112721,0.0,0.112721,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,37.7199,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
