Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),REopt:ElectricityProduced:Total(kw),REopt:Electricity:Load:Total(kw),REopt:Electricity:Grid:ToLoad(kw),REopt:Electricity:Grid:ToBattery(kw),REopt:Electricity:Storage:ToLoad(kw),REopt:Electricity:Storage:ToGrid(kw),REopt:Electricity:Storage:StateOfCharge(pct),REopt:ElectricityProduced:Generator:Total(kw),REopt:ElectricityProduced:Generator:ToBattery(kw),REopt:ElectricityProduced:Generator:ToLoad(kw),REopt:ElectricityProduced:Generator:ToGrid(kw),REopt:ElectricityProduced:PV:Total(kw),REopt:ElectricityProduced:PV:ToBattery(kw),REopt:ElectricityProduced:PV:ToLoad(kw),REopt:ElectricityProduced:PV:ToGrid(kw),REopt:ElectricityProduced:Wind:Total(kw),REopt:ElectricityProduced:Wind:ToBattery(kw),REopt:ElectricityProduced:Wind:ToLoad(kw),REopt:ElectricityProduced:Wind:ToGrid(kw)
2012.0,6.183938945017077,0.0,0.9404148405492136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.183938945017077,6.183938945017077,0.0,6.871043272241197,0.0,6.183938945017077,6.871043272241197,0.07993672167789198,10.172147669519589,0.0,5.83852,5.83852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,5.8385199477317355,0.0,0.967937072435006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8385199477317355,5.8385199477317355,0.0,6.4872443863685945,0.0,5.8385199477317355,6.4872443863685945,0.22781183187914836,10.632320599353946,0.0,7.387270000000001,7.387270000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,7.387271992815364,0.0,2.0945820143414675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.387271992815364,7.387271992815364,0.0,8.20807999201707,0.0,7.387271992815364,8.20807999201707,0.6246950112898244,14.122989079786734,0.0,7.67309,7.67309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,7.673092369085721,0.0,2.0945820143414675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.673092369085721,7.673092369085721,0.0,8.525658187873024,0.0,7.673092369085721,8.525658187873024,0.7556869140356323,15.94913491562842,0.0,7.364559999999999,7.364559999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,7.364556185735894,0.0,1.090888099679523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.364556185735894,7.364556185735894,0.0,8.182840206373216,0.0,7.364556185735894,8.182840206373216,0.6792965433605832,14.800799823375087,0.0,6.3901699999999995,6.3901699999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,6.390178007001862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.390178007001862,6.390178007001862,0.0,7.100197785557624,0.0,6.390178007001862,7.100197785557624,0.5987973777150153,13.72828022681351,0.0,4.30777,4.30777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,4.30776696257411,0.0,2.512339547434287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30776696257411,4.30776696257411,0.0,4.786407736193455,0.0,4.30776696257411,4.786407736193455,0.5665865190743482,13.334887001549745,0.0,1.638077,1.638077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,1.6380798950070359,0.0,1.3963880095609782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6380798950070359,1.6380798950070359,0.0,1.82008877223004,0.0,1.6380798950070359,1.82008877223004,0.22440291604882873,10.55280743846653,0.0,1.638077,1.638077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,1.6380798950070359,0.0,1.2045528159787182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6380798950070359,1.6380798950070359,0.0,1.82008877223004,0.0,1.6380798950070359,1.82008877223004,0.04620078410276962,10.059615803014665,0.0,3.21843,3.21843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,3.2184271564243128,0.0,0.6981940047804891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2184271564243128,3.2184271564243128,0.0,3.576030173804792,0.0,3.2184271564243128,3.576030173804792,-0.15739426702329995,10.31225570758049,0.0,3.21843,3.21843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
